name,desc
Flame Saber,"A sword imbued with the magic power of fire. A single swing will make you drip with sweat. Kind of icky to use, really."
Cyclone Blade,A sword imbued with the magic power of wind. Its thin blade has small holes in it to allow for air to pass through.
Dancing Dicer,"A weapon brought from the Far East. With its sharp edges, you can sometimes cut down foes in a single blow."
Great Sword,A long sword designed to never dull or need sharpening. Balanced and easy to hold.
Heaven Asunder,A legendary sword with a sharp blade that can pierce clouds. High chance of knocking down foes in a single blow.
Grand Smasher,"A long sword with spiky edges. Imbued with earth power, its spikes are designed to look like mountains."
Blue-Eyed Blade,"Makes its bearer's eyes shine blue, and grants the power to see an opponent's skill. Increases critical hit chance."
Poison Blade,A longsword with a poison-covered blade. So dangerous that even a small scratch can kill you.
Steel Slicer,Supposedly can cut through anything -- thus the name.
Flamberge,"A sword with a uniquely shaped blade. So beautiful, it's often used in ceremonies."
Shine Blade,A sword with a high-heat blade and an ice-cold tip. Even evil hearts are soothed by its shiny glow.
Earth Shade,A sword blessed by mother nature. Has an interesting design that looks kind of like a fault line.
Bio Smasher,A poisoned long sword with jagged edges. Designed to spread poison thoroughly.
Punisher,A long sword with a wide blade. Hurts worse than an atomic wedgie.
Sea Cutter,A sword that can supposedly divide the sea. Listen closely and you'll hear the sound of ocean waves.
Volcanon,"A sword imbued with fire. Beams out a strong light. So hot, it raises the room temperature by 10 degrees."
Snow Crown,"A long sword imbued with water power. When plunged into snow, not a single flake will melt."
Moon Shadow,A weapon from the Far East. Appears as naught but a shadow under cover of night. Can take down foes in a single blow.
Force Element,"A lighted long sword. Contains strong elemental power, making it hard to use."
Zweihaender+,Zweihaender strengthened with special power. Hurts worse than a wedgie.
Flamberge+,Flamberge strengthened with magic power. Its thin blade makes it easy to use.
Katzbalger,A smartly-designed sword with an aerodynamic shape that makes it easy to swing.
Big Knife,"A knife with a large blade. So large, in fact, that one cannot easily cut apples with it. Unless they're REALLY BIG."
Katana,"A weapon from the Far East. Beautiful, strong and sharp. In rare cases, you may knock down foes with a single blow."
Balmung,"A long sword with sleek lines. Though it's big, it's designed to be aerodynamic and easy to handle."
Psycho,"A uniquely-shaped long sword. Its three blades have assorted curses on them, inflicting numerous status ailments."
Dekash,"Smells like fish, so it tends to attract cats."
Braveheart,A rare long sword with a glittering blade. Its bearer's courage gives it strength.
Belzebuth,"Short-ranged, but has magical power strong enough to steal an enemy's life. High chance of landing critical hits."
Daicone,A daikon radish so large and strong that it became a viable weapon. It dreamed big.
Caliburn,A legendary calorie-burning sword. Few believe it actually exists. But here it is!
Orochi,"A sword separated into several parts, making it easy to wrap around foes. Capable of hitting far away enemies."
Spear,"A very simple spear, good for beginners. So simple that it's often used as a skewer for food."
Lance,Has a unique triangular shape. Said to have been used in a war fought by an ancient empire.
Needle Spear,A spear with a long blade. Has many uses and a high rate of owner satisfaction. A+++ would wield again!
Halberd,"A spear used for various purposes -- though most involve stabbing and cutting, as you might imagine."
Water Spear,A spear imbued with the magic power of water. It's always wet. Be careful not to let it slip out of your hands!
Blood Lance,A cursed spear. Its two blades remind you of a warlock.
Wood Staff,"A hard, wooden club. It might hurt more to hit with it than to stab with it."
Poison Spear,"A poisoned spear. Has a wide blade, making it easy to spread poison."
Corsesca,A spear with a wide blade. Its shape was decided after many experiments trying to forge a high-accuracy blade.
Silent Grave,A spear with a removable knife-like blade at its tip. Has a sealing effect on enemies.
Flare Lance,"A spear that lets out high heat. The closer to the tip, the hotter it gets. Perhaps it can cure back pain."
Heavy Lance,"A lance designed with a focus on attack power only, to the detriment of everything else. Heavy and hard to wield."
Iceberg,"A spear imbued with water power. Designed to work even underwater. Stab the fish, and you won't need a rod!"
Metus,"A spear shaped to dig holes. Those who are struck by it have little hope of survival, thanks to its hidden might."
Monk Staff,A nicely decorated stick with adjustable length.
Overbreak,A spear with a huge blade. Every swing makes the enemy flinch. Maybe swinging will be enough!
Brionac,"A spear so strong that it can penetrate anything. According to legend, it made a hole in the mountains with one stab!"
Feather Lance,A spear imbued with the magic power of wind. Lift it up to the sky and it will pierce the heavens.
Belvarose,"Spear with spikes at the end. Requires skill to use, but as you grow accustomed to it, you can easily land knockouts."
Bjor,A spear drenched in all available poisons. Has various effects.
Gungnir,"A legendary spear that can blow away storms. Its wind speed is so fast, though, that the bearer is equally at risk."
Lance+,"Lance strengthened by magical power. From tip to handle, it sparkles gorgeously in gold."
Corsesca+,"Corsesca strengthened by magical power. At half its original weight, it's very easy to wield."
Trident,A three-pronged spear. Some lose their memory in shock when stabbed with it.
Pitchfork,"Origin of kitchen forks. Bit big for cake, though. And spaghetti? Fahgeddabouddit!"
Dragon's Fang,A spear as sharp as a dragon fang. The blade vibrates faster as danger approaches.
Gae Bolg,A fierce spear with a trident-like shape. Every stab hurts.
Magical Lance,A lance with magical power so strong that its entire form changes color rapidly.
Safety Lance,"A lance with its tip covered in cotton and cloth. Still hurts, though. We can stab if we want to!"
Legion,"A lance with blades orbiting it. Foes can try to dodge, but these phantom blades ensure they won't make it very far."
Poison Queen,"A lance drenched in poisons from around the world. Handle with care, or you, too, may be poisoned."
Pine Club,A lance that resembles a pineapple. Its surface stings. The creator of this lance must have been very...unique.
Fivestaff,"A long-ranged lance that seems almost as if it were made of blades, from tip to handle. Can also be swung."
Battle Hammer,A hammer well-suited to blowing foes away -- or at least knocking them out.
War Hammer,A hammer much heavier than it looks. Be careful when swinging it -- it bites back!
Great Hammer,A hammer designed to eliminate shock when used. Very nicely balanced.
Schnabel,A hammer designed to be small and light. Has good overall balance.
Gigant Hammer,A large hammer. Be careful not to hit yourself!
Mjolnir,A hammer imbued with earth power. It's said to cause earthquakes if three of them hit the ground at once.
Spiked Hammer,"A hammer outfitted with spikes. Can easily score critical hits, hammer or no."
Flame Hammer,A hammer with fire power on one side. The flame helps enhance its damage output.
Ice Hammer,A hammer made of ice. Good for smashing things on a hot day. Refreshing!
Sky Hammer,A hammer with wings. Very light and easy to use.
Graviton Hammer,A hammer imbued with earth power. Designed not to hurt your hands during attack.
Bone Hammer,A light but strong hammer made from bones.
Crystal Hammer,A hammer imbued with water power. Its hard head and spikes cause major damage.
War Hammer+,War Hammer imbued with magical power. Causes less strain on the back.
Gigant Hammer+,Gigant Hammer imbued with magical power. Originally owned by high-ranking giants. Has engravings of their names.
Hammer,Farming hammer given a quickie reforge for battle-readiness. Tougher than it looks.
Toy Hammer,Anyone hit by this hammer must pretend that it really hurts. It's the law! Raises chance of knockouts.
Fatal Crush,"A hammer way beyond standard size. Long-ranged, and has a high chance of landing critical hits."
Strong Stone,Large chunks of metal are connected to its head. High in attack due to its heavy weight.
Kongo,"Made by fusing together chunks of metal. Long-ranged, but hard to handle."
Bat,A wooden bat used in baseball. Only kids in striped shirts make a weapon like this their first choice.
Iron Bat,"An iron bat used in baseball. Not designed as weaponry, but beggars can't be choosers... Maybe you'll hit a home run!"
Splash Star,"Hammer made by using magical power. As its name implies, it looks like splashing stars."
Battle Axe,An axe with a great deal of force behind it. Must be used carefully. Has a high chance of landing critical hits.
Pole Axe,An axe with a crescent moon-shaped blade. Has a pointy end as well. Choppy-choppy OR stabby-stabby. You decide!
Alldale,"An axe with two golden blades. Called angel wings, they are both strong and beautiful."
Great Axe,An axe with improved balance. Often thought of as a go-to axe when you're just not sure what weapon to use.
Demon Axe,An axe possessed by an evil spirit ever since it cut down a cursed tree.
Crescent Axe,"An axe with a sleek edge. Its center is unbalanced, however, so it's hard to hold it straight."
Executioner,An axe with a sketchy past. Was imbued with dark power while trying to raise its attack.
Heat Axe,"An axe with burning blades. Nicknamed 'Phoenix Feather,' it serves as a symbol of regeneration."
Frost Axe,"An axe with an icy cold blade. Freezes while it cuts, ensuring less pain for more humane murdering."
Tomahawk,An axe with a single blade. The tassel on its edge is always blowing in the wind.
Rock Axe,"Has one of the hardest blades of any axe. As a result, it's also one of the heaviest axes around."
Double Edge,A well-balanced axe with double blades. Highly regarded for its strength and ease of use.
Saint Axe,"A holy axe with sacred powers. Originally forged for use in rituals, not battle, making it a bit unwieldy."
Pole Axe+,A pole axe strengthened with magical power. Easier to hold and has greater balance.
Crescent Axe+,A crescent axe strengthened with magical power. A true masterpiece designed to be easy to wield.
Axe,"Originally a farming axe, it's excited to join you in battle. Its name is Meryl. And it likes you... for now."
Lollipop,"A sweet candy on a stick that's so hard, it just might work as a weapon. Raises chance of knockouts and cavities."
Battle Scythe,An axe with an extremely sharp blade. Much bigger and sharper than a farming sickle.
Basilisk Fang,A weapon that can cut through anything as if it were cloth. Has a paralyzing effect.
Devil Finger,A weapon that leaves scars said to resemble scratches from the devil's nails. Has the power to absorb life.
Rod,"A staff with magical power. Designed for sorcery, so it reduces RP spent when using magic."
Staff,"A simple, magical staff. Try it out and see what you can do with it!"
Silver Staff,"A staff made with sacred silver gems. Improves concentration, making it ideal for students."
Flare Staff,"A staff imbued with the magic power of fire. The head is very hot and tends to spark a lot. Hey, that rhymes!"
Ice Staff,A staff imbued with the magic power of water. The head is very cold and seems to emanate a faint breeze.
Lightning Wand,A staff imbued with the magic power of wind. Said to bring thunder and lightning.
Earth Staff,A staff imbued with the magic power of earth. Strong enough to shake the ground.
Wizard's Staff,Proof that the bearer is a full-fledged wizard. You can feel your intelligence grow just by holding it.
Mage's Staff,A staff that can be used as a walking stick. Popular among older wizards.
Rune Staff,A staff used by great wizards. Its magical power can be boosted by writing runes in the air.
Mage's Staff+,"A mage's staff strengthened with magical power. Not only more powerful, but easier to use as well."
Magic Broom,A staff that long ago belonged to a witch. You can use it to fly around in classic witchy style.
Basket,A basket that fits more than you'd think. Be careful not to leave things inside when fighting or they might spill!
Magic Shot,A trumpet-shaped syringe. Makes mysterious sloshy sounds. Getting pierced with it would hurt a lot.
Hell Branch,A staff made from a netherworld branch. There's rumors that the kid who invented this was scolded by his parents.
Crimson Staff,"A blood-colored staff. And no, it wasn't painted with real blood. It's just dye made from insects."
Bubble Staff,A staff that produces millions of bubbles. It must be popular among children. Don't be so mean. Lend it to them.
Gaia Rod,A staff that has the power of the earth. It gets power from the Forest of Beginnings secretly.
Shooting Star Staff,"A staff inspired by speeding stars in the sky. Sadly, your speed will not become twice as fast."
Cyclone Rod,A staff that has the power of wind. It produces high suction power which is used as a cleaning tool in another world.
Storm Wand,"A staff that is believed to be able to call storms. If it really does, it's gonna be a problem. Please don't try it."
Ruby Rod,A passionate staff that shines bright red. No one can stop the feelings gushing out from this weapon.
Emerald Rod,Bright green is a symbol of calmness. This rod makes you look intelligent and cool.
Sapphire Rod,A very cute rod. This is the best for those who care about the beauty of their hair.
Amethyst Rod,"A staff decorated with purple amethysts. Many of the wizards who have this rod are attractive, mature people."
Aquamarine Rod,A staff decorated with an ocean blue stone.
Diamond Rod,"Although it's the king of jewels, the only thing people care about is its hardness. And it IS very hard."
Friendly Rod,"A staff of friendship. ""We should be good friends"" means she doesn't want to date you."
Love-Love Rod,"A staff of love. Among wizard couples, it's secretly popular to equip it together."
Sorcerer's Wand,An almighty staff. But a true sorcerer knows he actually knows nothing.
Hell Curse,"A staff that is believed to be created in a hellish pot. By the way, the udon cooked in that pot tastes amazing."
Algernon,"A staff of flowers given to someone. For some reason, handling it makes you feel extra sharp."
Golden Turnip Staff,"A staff in the shape of a Golden Turnip. When you drop it in the fountain, just be honest and say you dropped a gold staff."
Sweet Potato Staff,"One autumn day, someone poked a roasted sweet potato with a broom. That's how this staff was created."
Elvish Harp,"A beautiful and well-made harp. Created by famous Elvish craftsmen. You can play, sing, and hit enemies with it."
Syringe,A staff that is a fusion of treatment and injury made by a mad magic doctor. Not recommended for hospitals.
Short Dagger,"Hold one in each hand to overwhelm your foes. If you do this, though, you can't bear a shield."
Steel Edge,"Weapon made with sharpened iron. Heavy, and requires considerable skill to wield."
Wind Edge,Two roaring swords that create winds capable of slicing through enemies.
Frost Edge,Two swords emanating cool air. Not for people who are overly sensitive to the cold.
Steel Katana,Solid swords reinforced with high heat. So sharp that they can cut steel.
Sonic Dagger,Slim wind-elemental dual blades that move at sonic speed. You can hear the air itself being cut in two.
Salamander,"Dual blades set ablaze. Be careful you don't get burned, 'cause these swords are hot, hot, hot!"
Twin Blade,Dual blades that can make you as strong as an ogre. The long blades help extend your reach. Also has a poisoning effect.
Rampage,"Called ""Rampage"" due to their fiery power and the violence they instill in their bearer."
Platinum Edge,Dual blades made of pure platinum. Very sharp and durable.
Efreet,High-heat dual blades that generate heat waves. Legend says they once caused an entire sea to evaporate.
Deep Blizzard,"Dual blades so cold that all water around them freezes on contact. As such, its blades tend to change shape a lot."
Dark Invitation,Magical soul-eating swords. They can end the lives of their targets in a single instant.
Force Divide,Dual blades imbued with both fire and water energies. The temperature difference increases the damage dealt.
Dragoon Claw,Dual blades in the shape of three dragon heads. The three on the left blade stop the other three from fighting.
Heart Fire,Dual blades as hot as the sun. Their fire is said to turn everything to ash.
Desert Wind,Dual blade designs inspired by desert winds. Popular for their beauty and strength.
Broken Wall,Dual blades imbued with earth power. So hard that they can smash rocks to pieces.
Orcus Sword,These long blades allow for a number of attacks to be made from a distance.
Chaos Edge,Dual blades imbued with magical power. Has a paralyzing effect.
Rune Edge,Dual blade imbued with runic power. Those lucky enough to see them in action may have their dreams come true.
Iron Edge,"Reinforced dual blades. Heavy but well-balanced, making them easy to wield."
Emerald Edge,Dual blades reinforced countless times. The increase to their magic power gives them a green tint.
Thief Knife,Dual blades often used by pirates and thieves. Holding them somehow makes you feel more inherently aggressive.
Double Scratch,"Dual blades used to soothe itchy backs With two at your disposal, your whole back is covered!"
Priest Saber,"Dual blades used by priests for protection. They're quite powerful, and guaranteed to keep anyone safely preaching."
Earnest Edge,"In the hands of an expert, these long blades can win a fight without taking a hit."
Gorgeous Lx,"Gorgeous dual blades. Not only one, but two of them. They're gorgeous, and you can be too, by wielding them."
Acutorimass,Cooking ladles reinforced as weapons. For some reason there are two.
Twin Leeks,"Leeks. Yes, leeks. Wielding them makes you feel like singing polka."
Twin Justice,"Justice now comes in two. Twice the justice, twice the power. Mete it upon your foes for... Uh...great justice!"
Leather Gloves,"They're for protecting your fists rather than attacking. Since there are holes for fingers, it's easy to grab monsters."
Brass Knuckles,A lethal weapon mainly used by Goblin gangs.
Kote,A weapon that can be used as armor.
Bear Claws,A weapon that looks like the claws of a bear.
Fists of Fire,Burning iron gauntlets. We all are friends after a fight!
Fists of Water,Cold iron gauntlets. They can deliver merciless blows.
Fists of Wind,Sharp iron gauntlets. It's important to draw your punches quickly for maximum effect.
Fists of the Earth,Heavy iron gauntlets. They make you feel powerful and grounded.
Fists of Light,Shiny iron gauntlets. So bright they make you want sunglasses.
Fists of Dark,Evil iron gauntlets. This is the power gained by giving your heart to the dark side.
Gloves,"These are for protecting your fists. Pretty basic, really."
Cat Punch,"A weapon in the shape of a cat's paws. Although it looks soft, the claw part seriously hurts."
Dragon Claws,A weapon made from dragon claws. Can even cut steel.
Animal Puppets,"A useful tool to have when performing a skit alone, but as a weapon..."
Ironleaf Fists,"Hurts, of course. Be careful not to stab yourself instead."
Golem Punch,Learning the way of Golems' punch. It's sad that they don't fly off.
Hand of God,A.k.a. God hand.
Caestus,It's said that ancient boxers used them.
Bazal Katar,"A foreign weapon that looks like a sword. Actually, it's called a jamadhar."
Fenrir,A weapon in the shape of a wolf-like monster that can swallow gods.
Cheap Hoe,"An old, rusty hoe. You can till the fields with it. Its blade is chipped."
Sturdy Hoe,A slightly stronger hoe. No longer chipped by rocks. Charge to cover a wider area.
Seasoned Hoe,A stronger hoe. Covers an even wider area when charged than the Sturdy Hoe.
Shiny Hoe,A hoe that glimmers like the sweat on your brow. Covers a very wide area when charged.
Blessed Hoe,"A hoe so strong that the soil is all like, thank you, may I have another? Really wide coverage when charged."
Cheap Waterpot,"An old, rusted waterpot. You can water the fields with it. Press the B Button repeatedly to water as you walk."
Tin Waterpot,"A tin waterpot. Though heavy, it can be charged to water the field."
Lion Waterpot,A super-cool waterpot. So cool that it can cover wider areas than most.
Rainbow Waterpot,A colorful waterpot. So colorful that it can cover wider areas than most. It wishes to be the prettiest waterpot at the dance.
Joy Waterpot,A lovely waterpot. So lovely that its water strikes the field as if tears from an omnibenevolent deity above.
Cheap Sickle,"An old, rusty sickle. Use it to cut weeds and plants. You can also cut crops to collect seeds."
Iron Sickle,A fairly sharp sickle. Use it to cut weeds and plants. You can also cut crops to collect seeds.
Quality Sickle,A high-quality sickle. Use it to cut weeds and plants. You can also cut crops to collect seeds.
Super Sickle,An outstanding sickle. Use it to cut weeds and plants. You can also cut crops to collect seeds.
Legendary Sickle,This sickle is sick...le! Use it to cut weeds and plants. You can also cut crops to collect seeds.
Cheap Hammer,"An old, rusty hammer. Too old to be charged. Used to flatten soil."
Iron Hammer,A hammer reinforced with bronze. Can be charged to cover wider areas. Used to flatten soil.
Silver Hammer,A hammer reinforced with silver. Can be charged to cover wider areas. Used to flatten soil.
Golden Hammer,A hammer reinforced with gold. Can be charged to cover wider areas. Used to flatten soil.
Platinum Hammer,"A hammer made from platinum. Shorter time needed to charge, making it highly efficient. Used to flatten soil."
Cheap Axe,"An old, rusty axe. Too old to be charged."
Chopping Axe,A sturdy bronze axe. Can be charged to cover wider areas.
Lumber Axe,"A nice, strong silver axe. Can be charged to cover wider areas."
Mountain Axe,An axe like an ox. Made from gold and can be charged to cover wider areas.
Miracle Axe,"An axe so amazing, poems are written of its noble deeds. Shorter time needed to charge, making it highly efficient."
Cheap Pole,"An old, rusty fishing pole. So old that it might break if the fish is too large."
Beginner's Pole,A pole for beginners. Can be charged to attract fish from far away.
Skilled Pole,A pole for novice fishers. Can be charged to attract fish from far away.
Famous Pole,A pole for master fishers. Can be charged to attract fish from far away.
Sacred Pole,A pole so strong that it'll never break. Can be charged to attract fish from far away.
Small Shield,"A small shield, easy to use. Low defense capability."
Iron Shield,"A simple shield made from iron. Wide, so it stops attacks fairly easily."
Round Shield,A rounded shield. Used to fend off attacks rather than simply deflecting them.
Platinum Shield,A durable shield made of pure platinum. Greatly resists critical hits.
Heavy Shield,"A shield made from layers of silver. Big and tough, it has a high chance of resisting critical hits."
Knight Shield,"Proof of bravery, only borne by a chosen few. Has a very high chance of resisting critical hits."
Rune Shield,"A shield made with runes. Not easily damaged, and blocks magic attacks. Halves light and darkness damage."
Magic Shield,A shield that blocks magic attacks and seals. Best used together with a staff.
Prism Shield,A shield that fends off magic attacks. Reduces damage by diffusing magical power. Blocks seals.
Element Shield,A shield that raises defense against elemental attacks. Lighter than it looks and very easy to use.
Chaos Shield,"A shield that goes with the chaos blade. Highly resistant to poison, paralysis and seals."
Turtle Shield,"A shield made by combining turtle shells. Very heavy, and often used in training. Resists being blown away."
Bone Shield,A shield that's both light and hard. Its featherweight nature makes it easy to handle.
Kite Shield,"A shield with high defensive power. Simply shaped, easy to use and highly resistant to knockouts."
Magical Shield,High in magic defense and resists status ailments. The crystal in its center reduces magic attacks.
Monkey Plush,A cute stuffed animal. Sold out in stores due to how terrifyingly cuddly it is.
Umbrella,"An expensive umbrella. Mainly meant for use as a parasol, but works against rain, too!"
Magic Plant Shield,"A shield from a magic plant. The better you take care of it, the stronger it will be."
Aquamarine Ring,A roughly cut stone makes this ring quite attractive.
Amethyst Ring,The elegance of the amethyst brings a calmness to the atmosphere.
Emerald Ring,The bright-shining emerald beautifully adorns your finger.
Sapphire Ring,A ring with a beautifully shining inset sapphire.
Diamond Ring,"A glittering ring. Protects against sleepiness, fatigue, illness and HP absorption."
Ruby Ring,A ring with a mysterious and alluring design.
Happy Ring,A ring that brings you happiness. Increases your chance of finding items.
Cursed Ring,A cursed ring with spikes that hurt your fingers.
Fire Ring,"A ring imbued with the magical power of fire. It blocks fire damage, but makes you vulnerable to water damage."
Wind Ring,"A ring imbued with the magical power of wind. It blocks wind damage, but makes you vulnerable to earth damage."
Water Ring,"A ring imbued with the magical power of water. It blocks water damage, but makes you vulnerable to fire damage."
Earth Ring,"A ring imbued with the magical power of earth. It blocks earth damage, but makes you vulnerable to wind damage."
Silver Ring,"Beloved for its simple design, but otherwise unremarkable."
Gold Ring,Beloved for its simple design. More expensive than silver.
Platinum Ring,Beloved for its simple design. This platinum type is rare and hard to find.
Critical Ring,"A ring that raises your chance of landing critical hits. Just by wearing it, you'll know right where to attack."
Silent Ring,"A ring that not only resists seals, but places them upon foes as well due to the medicines set into its trim."
Paralysis Ring,"A ring that not only resists paralysis, but inflicts it upon foes as well due to the medicines set into its trim."
Poison Ring,"A ring that not only resists poison, but inflicts it upon foes as well due to the medicines set into its trim."
Magic Ring,A ring imbued with magical power. Speeds up the time needed to charge.
Cheap Bracelet,"An old, rusty bracelet. Slightly raises magic defense."
Bronze Bracelet,"A heavy, bronze bracelet. Raises magic defense for a little bit."
Silver Bracelet,A silver bracelet. Raises magic defense.
Gold Bracelet,A golden bracelet. Raises magic defense quite considerably.
Platinum Bracelet,A platinum bracelet. Greatly raises magic defense.
Aquamarine Brooch,A brooch in the color of the deepest sea.
Amethyst Brooch,A brooch with a strangely soothing effect.
Emerald Brooch,A beautiful emerald brooch with an airy sheen to it.
Sapphire Brooch,A lovely pink-colored sapphire brooch with a shell motif.
Diamond Brooch,A golden brooch with scattered diamonds. Enjoy its smooth lines and beautiful glimmer. Resists all status ailments.
Ruby Brooch,"A brooch shining with ruby-red light. When put under the sun, it glitters like a star."
Silver Pendant,A silver pendant. Simple but elegant in design.
Heart Pendant,A cute heart-shaped pendant. Warms your heart and increases skill experience gained.
Star Pendant,A star-shaped pendant that shines as bright as a real heavenly body. Increases experience gain.
Sun Pendant,A sun-shaped pendant. Increases companions' abilities with its light.
Field Pendant,A pendant inspired by the wind. Its scent increases the ability of friendly monsters.
Dew Pendant,An outdoorsy pendant inspired by dew. Raises attack for farm tools.
Earth Pendant,A pendant inspired by earth. Its bounty boosts the effects of recovery items.
Holy Amulet,A charm that is said to protect one from danger.
Charm,A charm from the Far East. Protects you from misfortune by blocking critical hits.
Leather Belt,An ordinary leather belt of the sort one can find almost anywhere. Raises defensive skills.
Lucky Strike,Brings you good luck. Grants a higher than average chance of landing critical hits.
Talisman,"A type of protective charm. Reverses status effects such as poison, paralysis, fatigue and cold."
Champ Belt,An honorary belt given to champions. Greatly increases maximum HP.
Gloves,Fine quality leather gloves. Their soft green color is attractive to girls.
Work Gloves,Protects your hands from blisters. A must-have for farming.
Badge,"A vintage, collectible badge given out as a consolation prize."
Power Gloves,Gloves that fit snugly on one's hands. Used to carry heavy things. They're so bad!
Magic Charm,A must-have charm among magic knights. Favors either attack or magic attack -- whichever is stronger.
Shield Ring,"A ring used as a shield. Though tough, it only covers a short range. Occasionally reduces damage received to 1."
Rosary,"An accessory bearing a holy cross, used for prayers. Prevents most monsters from appearing at all."
Courage Badge,Given to those of brave heart and courageous mind. Ain't it the truth!
Hero's Proof,Proof of almighty power. Slowly recovers HP.
Proof of Wisdom,Proof of almighty wisdom. Slowly recovers RP.
Hand-Knit Scarf,"A warm, woolen scarf. Halves RP consumption (with some exceptions)."
Fluffy Scarf,A scarf made of soft cotton. Very warm. Cuts all RP consumption (with some exceptions).
Art of Attack,A book on the secrets of combat. Generates sonic waves and expands your weapon's target area.
Art of Defense,"A book on the secrets of guarding. Halves time spent flinching, granting its reader a heart of steel."
Art of Magic,A book on the secrets of spellcasting. Halves non-elemental attacks by way of magic walls.
Earrings,Dangly earrings. They're so cute when they bobble in the breeze.
Witch Earrings,"Small, jaggy earrings. Coordinate nicely with a broomstick and pointy hat."
Magic Earrings,Earrings made from dazzling magic stones. Makes even the ugliest of earlobes look nice.
Venti's Charm,"A charm given by Ventuswill. According to her, it's quite lucky."
Venti's Charm,"A charm given by Ventuswill. According to her, it's quite lucky."
Anette's Necklace,"With wearing this necklace, you can move faster. Also, you're kicking up more clouds of dirt. Stop that."
Throwing Ring,You can throw an item far away with this ring.
Stay-up Ring,You will no longer yawn with this ring. Hail to short sleepers!
Strange Pendant,"This creepy-looking pendant nullifies your defense and magic defense. So, uh, good luck with that."
Dolphin Brooch,"A lovely brooch made by a master craftsman. If one of your family equips it, it enhances their status."
Engagement Ring,"Use it to propose to your #1 love. Be sure you also prepare a double bed! Well...after they say yes, anyway."
Silver Hairpin,A traditional craft item from the Far East. Worn on the head to ward off evil spirits.
Gold Hairpin,A traditional craft item from the Far East. Made of finest gold.
Fancy Hat,"A striking red hat. Breathes quite well, offering superior cranial comfort."
Headband,A headband from the Far East. Tie it around your forehead when you want to feel awesome.
Feathered Hat,A hat with feathers in it. Protects your head and makes you look like an intellectual. Also increases love.
Brand Glasses,A famous designer's brand. Makes you look stylish!
Spectacles,People say you look smart with these.
Intelligent Glasses,You look rather more silly than smart in these.
Straw Hat,A hat great for summer. It feels good because it lets the heat out.
Fireproof Hood,"Protects your head. Don't push. Don't run. Don't talk. Just stop, drop...and rooooooll..."
Cute Knitting,"A warm, woolen hat."
Black Ribbon,A black-colored ribbon. Those who wear it look intimidating.
Orange Ribbon,An orange-colored ribbon. Those who wear it look fun to hang out with.
Red Ribbon,A red-colored ribbon. Those who wear it look passionate.
Yellow Ribbon,A yellow-colored ribbon. Those who wear it look intelligent.
Blue Ribbon,A blue-colored ribbon. Those who wear it look loyal.
Green Ribbon,A green-colored ribbon. Those who wear it look environmentally conscious. Possibly hipster.
Purple Ribbon,A purple-colored ribbon. Those who wear it look sort of gothic.
Indigo Ribbon,An indigo-colored ribbon. Those who wear it look regal.
White Ribbon,A white-colored ribbon. Those who wear it should probably avoid eating spaghetti.
Turnip Headgear,"A hat made from a turnip. It was once used during Halloween, but it got replaced by a pumpkin."
Pumpkin Headgear,A hat made from a pumpkin. The hero of Halloween.
Spring Headdress,A headdress that makes you feel spring-y. People who love spring have pure hearts.
Summer Headdress,A headdress that makes you feel summer-y. People who love summer have strong hearts.
Autumn Headdress,A headdress that makes you feel autumn-y. People who love autumn have merciful hearts.
Winter Headdress,A headdress that makes you feel winter-y. People who love winter have open hearts.
Lolita Headdress,Gothic Lolita fashion that is popular among some people.
Headdress,An accessory that decorates your head. It must be frilly and flashy.
Cat Ears,An accessory inspired by a Palm Cat's ears.
Crown,A classy crown that kings wear.
Four Seasons,"A headdress that makes you feel all seasons. It's for those who have pure, strong, merciful and open hearts."
Silk Hat,"When you wear this, you might hear a song. No tricks, no gimmicks!"
Feather Boots,Boots made of a light material. Makes you feel like you're walking on air!
Heavy Boots,"Boots made of steel. Keep you from blowing away, but you'll get tired more easily."
Leather Boots,Leather boots made for travelers. Tough and durable.
Knight Boots,Boots with very high defense. Fine quality. Often worn by knights.
Snow Boots,Special boots originally created for wear in snowy regions. They stop you from slipping in any weather!
Ice Skates,"Boots that make you skate around like you're in a rink, anywhere you go. They don't let you jump or spin, though."
Piyo Sandals,Shoes that chirp with every step. They make you want to run around just to see how loud they can get.
Step-In Boots,Boots designed to prevent you from executing dash attacks.
Ghost Boots,Boots designed to lessen one's weight through principles learned from flying foes. Increases travel speed.
Iron Geta,Simple iron footwear. Made for training purposes. Decreases travel speed.
Strider Boots,Boots that help you take bigger steps. Lengthens your invincibility when dashing.
Secret Shoes,Boots with secret heels that make you look taller.
Wet Boots,Boots that are wet and slippery. Their natural power helps you land critical hits.
Sneaking Boots,Boots used to sneak up on unsuspecting foes unnoticed. Allows you to attack monsters before they attack you!
Fast Step Boots,Boots designed for dance practice. Puts a spring in their wearer's step.
Water Shoes,Footwear used by Ninja of the Far East. Helps you walk on water.
Rocket Wing,"Boots that help you walk faster than ever before. Takes your breath away, so make sure not to pass out!"
Silver Boots,Simple silver boots. Wearing them increases defense.
Gold Boots,Simple golden boots. Wearing them increases defense.
Bone Boots,"Boots made with a combination of hard bones. Though they may look primitive, they're high in defense."
Fairy Boots,"Rare boots made with fairy dust. Very light, but ""fairy"" tough."
Free Farming Shoes,Shoes for advanced farmers that make it possible to cultivate regardless of the grid lines.
